,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-10-01,100.01838736096191,100.16358449187072,100.91604586329227,100.01838736096191,100.01838736096191,0.5164297565037879,0.5164297565037879,0.5164297565037879,0.05818865212083151,0.05818865212083151,0.05818865212083151,0.45824110438295634,0.45824110438295634,0.45824110438295634,0.0,0.0,0.0,100.53481711746569
1,2020-10-02,100.02345863778582,100.09035548276337,100.81582934075739,100.02345863778582,100.02345863778582,0.42380440900496164,0.42380440900496164,0.42380440900496164,0.053193847041889626,0.053193847041889626,0.053193847041889626,0.37061056196307196,0.37061056196307196,0.37061056196307196,0.0,0.0,0.0,100.44726304679078
2,2020-10-05,100.03867246825753,99.79621259676468,100.60691243096079,100.03867246825753,100.03867246825753,0.16714709826131782,0.16714709826131782,0.16714709826131782,0.0385642662353877,0.0385642662353877,0.0385642662353877,0.12858283202593013,0.12858283202593013,0.12858283202593013,0.0,0.0,0.0,100.20581956651885
3,2020-10-06,100.04374374508143,99.74160534530057,100.53678347171675,100.04374374508143,100.04374374508143,0.07324254754766674,0.07324254754766674,0.07324254754766674,0.017129744540031,0.017129744540031,0.017129744540031,0.056112803007635735,0.056112803007635735,0.056112803007635735,0.0,0.0,0.0,100.1169862926291
4,2020-10-07,100.04881502190534,99.69553362303397,100.48033750756504,100.04881502190534,100.04881502190534,0.04086842896230509,0.04086842896230509,0.04086842896230509,0.052656691045782605,0.052656691045782605,0.052656691045782605,-0.011788262083477509,-0.011788262083477509,-0.011788262083477509,0.0,0.0,0.0,100.08968345086764
5,2020-10-08,100.05388629872924,99.64263135429648,100.42274823280842,100.05388629872924,100.05388629872924,-0.016753135240449208,-0.016753135240449208,-0.016753135240449208,0.05818865212078832,0.05818865212078832,0.05818865212078832,-0.07494178736123752,-0.07494178736123752,-0.07494178736123752,0.0,0.0,0.0,100.03713316348879
6,2020-10-09,100.05895757555315,99.58024523025358,100.35891808163808,100.05895757555315,100.05895757555315,-0.0800432900326295,-0.0800432900326295,-0.0800432900326295,0.053193847041759626,0.053193847041759626,0.053193847041759626,-0.13323713707438914,-0.13323713707438914,-0.13323713707438914,0.0,0.0,0.0,99.97891428552052
7,2020-10-12,100.07417140602487,99.41962686829318,100.21104081668689,100.07417140602487,100.07417140602487,-0.2402787766524189,-0.2402787766524189,-0.2402787766524189,0.03856426623548716,0.03856426623548716,0.03856426623548716,-0.278843042887906,-0.278843042887906,-0.278843042887906,0.0,0.0,0.0,99.83389262937246
8,2020-10-13,100.07924268284877,99.37008386542979,100.17182735995037,100.07924268284877,100.07924268284877,-0.30074281218461146,-0.30074281218461146,-0.30074281218461146,0.017129744540061,0.017129744540061,0.017129744540061,-0.31787255672467246,-0.31787255672467246,-0.31787255672467246,0.0,0.0,0.0,99.77849987066416
9,2020-10-14,100.08431395967267,99.40994142620863,100.1502556810537,100.08431395967267,100.08431395967267,-0.29974966599849484,-0.29974966599849484,-0.29974966599849484,0.052656691045669564,0.052656691045669564,0.052656691045669564,-0.3524063570441644,-0.3524063570441644,-0.3524063570441644,0.0,0.0,0.0,99.78456429367418
10,2020-10-15,100.08938523649658,99.37349032335183,100.17094994273839,100.08938523649658,100.08938523649658,-0.3244742104978085,-0.3244742104978085,-0.3244742104978085,0.058188652120933,0.058188652120933,0.058188652120933,-0.3826628626187415,-0.3826628626187415,-0.3826628626187415,0.0,0.0,0.0,99.76491102599877
11,2020-10-16,100.09445651332048,99.32595225860254,100.10488599971582,100.09445651332048,100.09445651332048,-0.355698886852332,-0.355698886852332,-0.355698886852332,0.05319384704162961,0.05319384704162961,0.05319384704162961,-0.4088927338939615,-0.4088927338939615,-0.4088927338939615,0.0,0.0,0.0,99.73875762646814
12,2020-10-19,100.1096703437922,99.27119904940133,100.0813086434704,100.1096703437922,100.1096703437922,-0.4276801962431501,-0.4276801962431501,-0.4276801962431501,0.03856426623544713,0.03856426623544713,0.03856426623544713,-0.4662444624785972,-0.4662444624785972,-0.4662444624785972,0.0,0.0,0.0,99.68199014754906
13,2020-10-20,100.1147416206161,99.27055729248531,100.03820118535536,100.1147416206161,100.1147416206161,-0.4621093031725848,-0.4621093031725848,-0.4621093031725848,0.017129744540020947,0.017129744540020947,0.017129744540020947,-0.4792390477126058,-0.4792390477126058,-0.4792390477126058,0.0,0.0,0.0,99.65263231744352
14,2020-10-21,100.11981289744001,99.3277776643192,100.0672307578222,100.11981289744001,100.11981289744001,-0.4370087822658363,-0.4370087822658363,-0.4370087822658363,0.05265669104570127,0.05265669104570127,0.05265669104570127,-0.48966547331153754,-0.48966547331153754,-0.48966547331153754,0.0,0.0,0.0,99.68280411517418
15,2020-10-22,100.12488417426391,99.29300532521329,100.0717662578754,100.12488417426391,100.12488417426391,-0.4396155259077734,-0.4396155259077734,-0.4396155259077734,0.058188652120728115,0.058188652120728115,0.058188652120728115,-0.4978041780285016,-0.4978041780285016,-0.4978041780285016,0.0,0.0,0.0,99.68526864835614
16,2020-10-23,100.12995545108781,99.28964702193892,100.08552694760039,100.12995545108781,100.12995545108781,-0.4507232562597353,-0.4507232562597353,-0.4507232562597353,0.05319384704149959,0.05319384704149959,0.05319384704149959,-0.5039171033012348,-0.5039171033012348,-0.5039171033012348,0.0,0.0,0.0,99.67923219482807
