,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,actual
0,2020-10-01,100.01838736096191,100.17704996847189,100.9291839549286,100.01838736096191,100.01838736096191,0.5164297565037879,0.5164297565037879,0.5164297565037879,0.05818865212083151,0.05818865212083151,0.05818865212083151,0.45824110438295634,0.45824110438295634,0.45824110438295634,0.0,0.0,0.0,100.53481711746569,100.0
1,2020-10-02,100.02345863778582,100.05269762460388,100.85208450117432,100.02345863778582,100.02345863778582,0.42380440900496164,0.42380440900496164,0.42380440900496164,0.053193847041889626,0.053193847041889626,0.053193847041889626,0.37061056196307196,0.37061056196307196,0.37061056196307196,0.0,0.0,0.0,100.44726304679078,100.0
2,2020-10-05,100.03867246825753,99.79364719937648,100.58604056230197,100.03867246825753,100.03867246825753,0.16714709826131782,0.16714709826131782,0.16714709826131782,0.0385642662353877,0.0385642662353877,0.0385642662353877,0.12858283202593013,0.12858283202593013,0.12858283202593013,0.0,0.0,0.0,100.20581956651885,99.99500274658203
3,2020-10-06,100.04374374508143,99.72647324662168,100.4923212919083,100.04374374508143,100.04374374508143,0.07324254754766674,0.07324254754766674,0.07324254754766674,0.017129744540031,0.017129744540031,0.017129744540031,0.056112803007635735,0.056112803007635735,0.056112803007635735,0.0,0.0,0.0,100.1169862926291,100.02999877929688
4,2020-10-07,100.04881502190534,99.71223334339645,100.46105309264671,100.04881502190534,100.04881502190534,0.04086842896230509,0.04086842896230509,0.04086842896230509,0.052656691045782605,0.052656691045782605,0.052656691045782605,-0.011788262083477509,-0.011788262083477509,-0.011788262083477509,0.0,0.0,0.0,100.08968345086764,99.91999816894531
5,2020-10-08,100.05388629872924,99.63673297295712,100.44841963844239,100.05388629872924,100.05388629872924,-0.016753135240449208,-0.016753135240449208,-0.016753135240449208,0.05818865212078832,0.05818865212078832,0.05818865212078832,-0.07494178736123752,-0.07494178736123752,-0.07494178736123752,0.0,0.0,0.0,100.03713316348879,99.99500274658203
6,2020-10-09,100.05895757555315,99.57122855113022,100.36715658894488,100.05895757555315,100.05895757555315,-0.0800432900326295,-0.0800432900326295,-0.0800432900326295,0.053193847041759626,0.053193847041759626,0.053193847041759626,-0.13323713707438914,-0.13323713707438914,-0.13323713707438914,0.0,0.0,0.0,99.97891428552052,99.94000244140625
7,2020-10-12,100.07417140602487,99.46316303464808,100.21514765768887,100.07417140602487,100.07417140602487,-0.2402787766524189,-0.2402787766524189,-0.2402787766524189,0.03856426623548716,0.03856426623548716,0.03856426623548716,-0.278843042887906,-0.278843042887906,-0.278843042887906,0.0,0.0,0.0,99.83389262937246,99.94000244140625
8,2020-10-13,100.07924268284877,99.38847818874189,100.16291118520614,100.07924268284877,100.07924268284877,-0.30074281218461146,-0.30074281218461146,-0.30074281218461146,0.017129744540061,0.017129744540061,0.017129744540061,-0.31787255672467246,-0.31787255672467246,-0.31787255672467246,0.0,0.0,0.0,99.77849987066416,99.96499633789062
9,2020-10-14,100.08431395967267,99.42310447027643,100.17404344225935,100.08431395967267,100.08431395967267,-0.29974966599849484,-0.29974966599849484,-0.29974966599849484,0.052656691045669564,0.052656691045669564,0.052656691045669564,-0.3524063570441644,-0.3524063570441644,-0.3524063570441644,0.0,0.0,0.0,99.78456429367418,99.9749984741211
10,2020-10-15,100.08938523649658,99.36768714599843,100.11109871102151,100.08938523649658,100.08938523649658,-0.3244742104978085,-0.3244742104978085,-0.3244742104978085,0.058188652120933,0.058188652120933,0.058188652120933,-0.3826628626187415,-0.3826628626187415,-0.3826628626187415,0.0,0.0,0.0,99.76491102599877,99.94499969482422
11,2020-10-16,100.09445651332048,99.32117447800569,100.125926549721,100.09445651332048,100.09445651332048,-0.355698886852332,-0.355698886852332,-0.355698886852332,0.05319384704162961,0.05319384704162961,0.05319384704162961,-0.4088927338939615,-0.4088927338939615,-0.4088927338939615,0.0,0.0,0.0,99.73875762646814,99.92500305175781
12,2020-10-19,100.1096703437922,99.28231722641138,100.05141110859998,100.1096703437922,100.1096703437922,-0.4276801962431501,-0.4276801962431501,-0.4276801962431501,0.03856426623544713,0.03856426623544713,0.03856426623544713,-0.4662444624785972,-0.4662444624785972,-0.4662444624785972,0.0,0.0,0.0,99.68199014754906,99.88999938964844
13,2020-10-20,100.1147416206161,99.29426077244887,100.03624768675759,100.1147416206161,100.1147416206161,-0.4621093031725848,-0.4621093031725848,-0.4621093031725848,0.017129744540020947,0.017129744540020947,0.017129744540020947,-0.4792390477126058,-0.4792390477126058,-0.4792390477126058,0.0,0.0,0.0,99.65263231744352,99.84709930419922
14,2020-10-21,100.11981289744001,99.31683947591429,100.0611787849956,100.11981289744001,100.11981289744001,-0.4370087822658363,-0.4370087822658363,-0.4370087822658363,0.05265669104570127,0.05265669104570127,0.05265669104570127,-0.48966547331153754,-0.48966547331153754,-0.48966547331153754,0.0,0.0,0.0,99.68280411517418,99.82430267333984
15,2020-10-22,100.12488417426391,99.2935363349577,100.07589012330801,100.12488417426391,100.12488417426391,-0.4396155259077734,-0.4396155259077734,-0.4396155259077734,0.058188652120728115,0.058188652120728115,0.058188652120728115,-0.4978041780285016,-0.4978041780285016,-0.4978041780285016,0.0,0.0,0.0,99.68526864835614,99.75
16,2020-10-23,100.12995545108781,99.30704325743636,100.08039215849482,100.12995545108781,100.12995545108781,-0.4507232562597353,-0.4507232562597353,-0.4507232562597353,0.05319384704149959,0.05319384704149959,0.05319384704149959,-0.5039171033012348,-0.5039171033012348,-0.5039171033012348,0.0,0.0,0.0,99.67923219482807,99.79000091552734
17,2020-10-26,100.14516928155953,99.26048659159294,100.0575702787159,100.14516928155953,100.14516928155953,-0.4737887146341757,-0.4737887146341757,-0.4737887146341757,0.038564266235686054,0.038564266235686054,0.038564266235686054,-0.5123529808698618,-0.5123529808698618,-0.5123529808698618,0.0,0.0,0.0,99.67138056692535,99.86000061035156
