,ds,y
104,2021-03-03 00:00:00-05:00,99.01180267333984
105,2021-03-04 00:00:00-05:00,98.84500122070312
106,2021-03-05 00:00:00-05:00,98.76000213623047
107,2021-03-08 00:00:00-05:00,98.53050231933594
108,2021-03-09 00:00:00-05:00,98.625
109,2021-03-10 00:00:00-05:00,98.73919677734375
110,2021-03-11 00:00:00-05:00,98.8416976928711
111,2021-03-12 00:00:00-05:00,98.59259796142578
112,2021-03-15 00:00:00-04:00,98.61830139160156
113,2021-03-16 00:00:00-04:00,98.62940216064453
114,2021-03-17 00:00:00-04:00,98.70149993896484
115,2021-03-18 00:00:00-04:00,98.48979949951172
116,2021-03-19 00:00:00-04:00,98.47730255126953
117,2021-03-22 00:00:00-04:00,98.56500244140625
118,2021-03-23 00:00:00-04:00,98.68769836425781
119,2021-03-24 00:00:00-04:00,98.72579956054688
120,2021-03-25 00:00:00-04:00,98.73179626464844
121,2021-03-26 00:00:00-04:00,98.63500213623047
122,2021-03-29 00:00:00-04:00,98.5365982055664
123,2021-03-30 00:00:00-04:00,98.51280212402344
124,2021-03-31 00:00:00-04:00,98.51460266113281
125,2021-04-01 00:00:00-04:00,98.6449966430664
126,2021-04-05 00:00:00-04:00,98.52320098876953
127,2021-04-06 00:00:00-04:00,98.71089935302734
128,2021-04-07 00:00:00-04:00,98.72160339355469
129,2021-04-08 00:00:00-04:00,98.81500244140625
130,2021-04-09 00:00:00-04:00,98.75569915771484
131,2021-04-12 00:00:00-04:00,98.70919799804688
132,2021-04-13 00:00:00-04:00,98.8228988647461
133,2021-04-14 00:00:00-04:00,98.81089782714844
134,2021-04-15 00:00:00-04:00,99.00830078125
135,2021-04-16 00:00:00-04:00,99.24469757080078
136,2021-04-19 00:00:00-04:00,99.1011962890625
137,2021-04-20 00:00:00-04:00,99.04409790039062
138,2021-04-21 00:00:00-04:00,98.97049713134766
139,2021-04-22 00:00:00-04:00,99.0009994506836
140,2021-04-23 00:00:00-04:00,98.9800033569336
141,2021-04-26 00:00:00-04:00,98.97000122070312
142,2021-04-27 00:00:00-04:00,98.83260345458984
143,2021-04-28 00:00:00-04:00,98.88639831542969
144,2021-04-29 00:00:00-04:00,98.8550033569336
145,2021-04-30 00:00:00-04:00,98.88929748535156
146,2021-05-03 00:00:00-04:00,98.9446029663086
147,2021-05-04 00:00:00-04:00,98.98500061035156
148,2021-05-05 00:00:00-04:00,99.05999755859375
149,2021-05-06 00:00:00-04:00,99.07499694824219
150,2021-05-07 00:00:00-04:00,99.14749908447266
151,2021-05-10 00:00:00-04:00,99.11000061035156
152,2021-05-11 00:00:00-04:00,99.11000061035156
153,2021-05-12 00:00:00-04:00,99.11000061035156
154,2021-05-13 00:00:00-04:00,99.11000061035156
155,2021-05-14 00:00:00-04:00,99.11000061035156
156,2021-05-17 00:00:00-04:00,99.11000061035156
157,2021-05-18 00:00:00-04:00,99.11000061035156
158,2021-05-19 00:00:00-04:00,99.11000061035156
159,2021-05-20 00:00:00-04:00,99.11000061035156
160,2021-05-21 00:00:00-04:00,99.11000061035156
161,2021-05-24 00:00:00-04:00,99.11000061035156
162,2021-05-25 00:00:00-04:00,99.11000061035156
163,2021-05-26 00:00:00-04:00,99.11000061035156
