,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,actual
10,1985-10-15,118.51084326080958,-809.7051080804765,897.760876479046,118.51084326080958,118.51084326080958,-49.51290364196477,-49.51290364196477,-49.51290364196477,1.651866756575608,1.651866756575608,1.651866756575608,-51.16477039854038,-51.16477039854038,-51.16477039854038,0.0,0.0,0.0,68.99793961884481,113.37999725341797
11,1985-10-16,118.57868939509173,-793.1182045830471,978.7839778269749,118.57868939509173,118.57868939509173,-45.437420449797436,-45.437420449797436,-45.437420449797436,3.3637165343323723,3.3637165343323723,3.3637165343323723,-48.801136984129805,-48.801136984129805,-48.801136984129805,0.0,0.0,0.0,73.14126894529429,114.31500244140625
12,1985-10-17,118.64653552937388,-823.3361137537856,954.4460124353644,118.64653552937388,118.64653552937388,-43.808777920062454,-43.808777920062454,-43.808777920062454,2.4371643160481034,2.4371643160481034,2.4371643160481034,-46.24594223611056,-46.24594223611056,-46.24594223611056,0.0,0.0,0.0,74.83775760931142,114.73999786376953
13,1985-10-18,118.71438166365604,-871.0917569624136,1004.3141771126965,118.71438166365604,118.71438166365604,-48.46785123316642,-48.46785123316642,-48.46785123316642,-4.926578529320716,-4.926578529320716,-4.926578529320716,-43.541272703845706,-43.541272703845706,-43.541272703845706,0.0,0.0,0.0,70.24653043048963,114.31999969482422
14,1985-10-21,118.91792006650252,-785.1700335740524,999.2576410634513,118.91792006650252,118.91792006650252,-31.472783128176726,-31.472783128176726,-31.472783128176726,3.47187950450958,3.47187950450958,3.47187950450958,-34.94466263268631,-34.94466263268631,-34.94466263268631,0.0,0.0,0.0,87.44513693832579,113.68000030517578
15,1985-10-22,118.98576620078467,-787.0868102015077,984.1163647460783,118.98576620078467,118.98576620078467,-30.396302165370237,-30.396302165370237,-30.396302165370237,1.6518667565783554,1.6518667565783554,1.6518667565783554,-32.048168921948594,-32.048168921948594,-32.048168921948594,0.0,0.0,0.0,88.58946403541444,114.44000244140625
16,1985-10-23,119.05361233506682,-775.2823610842411,928.9166580362918,119.05361233506682,119.05361233506682,-25.83061520555899,-25.83061520555899,-25.83061520555899,3.3637165343397837,3.3637165343397837,3.3637165343397837,-29.19433173989877,-29.19433173989877,-29.19433173989877,0.0,0.0,0.0,93.22299712950783,115.06500244140625
17,1985-10-24,119.121458469349,-742.6181338965287,969.2770596961454,119.121458469349,119.121458469349,-23.975358346695348,-23.975358346695348,-23.975358346695348,2.4371643160448238,2.4371643160448238,2.4371643160448238,-26.41252266274017,-26.41252266274017,-26.41252266274017,0.0,0.0,0.0,95.14610012265365,115.48500061035156
18,1985-10-25,119.18930460363114,-776.7532714434335,1003.2579920888567,119.18930460363114,119.18930460363114,-28.65426531248769,-28.65426531248769,-28.65426531248769,-4.926578529319254,-4.926578529319254,-4.926578529319254,-23.72768678316844,-23.72768678316844,-23.72768678316844,0.0,0.0,0.0,90.53503929114345,113.91000366210938
19,1985-10-28,119.3928430064776,-773.7170279340108,979.2924979500594,119.3928430064776,119.3928430064776,-12.959231457552578,-12.959231457552578,-12.959231457552578,3.4718795045094155,3.4718795045094155,3.4718795045094155,-16.431110962061993,-16.431110962061993,-16.431110962061993,0.0,0.0,0.0,106.43361154892503,113.81999969482422
20,1985-10-29,119.46068914075977,-830.0667098745855,1028.461478153545,119.46068914075977,119.46068914075977,-12.632904907993938,-12.632904907993938,-12.632904907993938,1.6518667565753236,1.6518667565753236,1.6518667565753236,-14.284771664569261,-14.284771664569261,-14.284771664569261,0.0,0.0,0.0,106.82778423276584,115.4000015258789
