,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,actual
0,1985-10-01,117.56099738085938,-803.154523876591,999.9957360349512,117.56099738085938,117.56099738085938,-45.503962605431994,-45.503962605431994,-45.503962605431994,1.6518667565733234,1.6518667565733234,1.6518667565733234,-47.15582936200531,-47.15582936200531,-47.15582936200531,0.0,0.0,0.0,72.05703477542738,112.13999938964844
1,1985-10-02,117.62884351514153,-838.7209022223439,982.5403589444644,117.62884351514153,117.62884351514153,-46.767740459372746,-46.767740459372746,-46.767740459372746,3.3637165343315836,3.3637165343315836,3.3637165343315836,-50.131456993704326,-50.131456993704326,-50.131456993704326,0.0,0.0,0.0,70.86110305576878,110.82499694824219
2,1985-10-03,117.69668964942367,-798.4565249923542,972.617150293702,117.69668964942367,117.69668964942367,-50.27648382571879,-50.27648382571879,-50.27648382571879,2.437164316053807,2.437164316053807,2.437164316053807,-52.713648141772595,-52.713648141772595,-52.713648141772595,0.0,0.0,0.0,67.42020582370489,110.87000274658203
3,1985-10-04,117.76453578370585,-763.1711677917316,977.1714377777382,117.76453578370585,117.76453578370585,-59.8082385615238,-59.8082385615238,-59.8082385615238,-4.926578529319055,-4.926578529319055,-4.926578529319055,-54.88166003220474,-54.88166003220474,-54.88166003220474,0.0,0.0,0.0,57.95629722218205,110.07499694824219
4,1985-10-07,117.96807418655231,-839.5327366469038,896.0332621494874,117.96807418655231,117.96807418655231,-55.30381654903398,-55.30381654903398,-55.30381654903398,3.4718795045063966,3.4718795045063966,3.4718795045063966,-58.77569605354038,-58.77569605354038,-58.77569605354038,0.0,0.0,0.0,62.66425763751833,108.19999694824219
5,1985-10-08,118.03592032083446,-818.0068809028484,877.615276044046,118.03592032083446,118.03592032083446,-57.539580557728875,-57.539580557728875,-57.539580557728875,1.6518667565786394,1.6518667565786394,1.6518667565786394,-59.19144731430751,-59.19144731430751,-59.19144731430751,0.0,0.0,0.0,60.49633976310559,107.16000366210938
6,1985-10-09,118.10376645511663,-850.4666940298833,938.223996729187,118.10376645511663,118.10376645511663,-55.81128394416215,-55.81128394416215,-55.81128394416215,3.3637165343354054,3.3637165343354054,3.3637165343354054,-59.17500047849756,-59.17500047849756,-59.17500047849756,0.0,0.0,0.0,62.29248251095448,108.62999725341797
7,1985-10-10,118.17161258939879,-795.0479626089617,944.4494093965842,118.17161258939879,118.17161258939879,-56.303451702961894,-56.303451702961894,-56.303451702961894,2.437164316047269,2.437164316047269,2.437164316047269,-58.74061601900916,-58.74061601900916,-58.74061601900916,0.0,0.0,0.0,61.8681608864369,109.43499755859375
8,1985-10-11,118.23945872368094,-868.1173009947577,993.235515320806,118.23945872368094,118.23945872368094,-62.83473288791375,-62.83473288791375,-62.83473288791375,-4.926578529317601,-4.926578529317601,-4.926578529317601,-57.90815435859616,-57.90815435859616,-57.90815435859616,0.0,0.0,0.0,55.40472583576719,111.05000305175781
9,1985-10-14,118.44299712652742,-765.1366822554169,946.7446072742773,118.44299712652742,118.44299712652742,-49.823675273861745,-49.823675273861745,-49.823675273861745,3.4718795045062327,3.4718795045062327,3.4718795045062327,-53.29555477836798,-53.29555477836798,-53.29555477836798,0.0,0.0,0.0,68.61932185266568,113.18499755859375
10,1985-10-15,118.51084326080958,-785.0145197883674,911.3042303238378,118.51084326080958,118.51084326080958,-49.51290364196477,-49.51290364196477,-49.51290364196477,1.651866756575608,1.651866756575608,1.651866756575608,-51.16477039854038,-51.16477039854038,-51.16477039854038,0.0,0.0,0.0,68.99793961884481,113.37999725341797
11,1985-10-16,118.57868939509173,-741.7072757379374,899.3381050957107,118.57868939509173,118.57868939509173,-45.437420449797436,-45.437420449797436,-45.437420449797436,3.3637165343323723,3.3637165343323723,3.3637165343323723,-48.801136984129805,-48.801136984129805,-48.801136984129805,0.0,0.0,0.0,73.14126894529429,114.31500244140625
12,1985-10-17,118.64653552937388,-851.0623392641613,963.3317242577783,118.64653552937388,118.64653552937388,-43.808777920062454,-43.808777920062454,-43.808777920062454,2.4371643160481034,2.4371643160481034,2.4371643160481034,-46.24594223611056,-46.24594223611056,-46.24594223611056,0.0,0.0,0.0,74.83775760931142,114.73999786376953
13,1985-10-18,118.71438166365604,-770.1499072089542,910.8215301304527,118.71438166365604,118.71438166365604,-48.46785123316642,-48.46785123316642,-48.46785123316642,-4.926578529320716,-4.926578529320716,-4.926578529320716,-43.541272703845706,-43.541272703845706,-43.541272703845706,0.0,0.0,0.0,70.24653043048963,114.31999969482422
14,1985-10-21,118.91792006650252,-761.3119888747003,941.5480747085332,118.91792006650252,118.91792006650252,-31.472783128176726,-31.472783128176726,-31.472783128176726,3.47187950450958,3.47187950450958,3.47187950450958,-34.94466263268631,-34.94466263268631,-34.94466263268631,0.0,0.0,0.0,87.44513693832579,113.68000030517578
15,1985-10-22,118.98576620078467,-827.1931238944235,946.6964017526931,118.98576620078467,118.98576620078467,-30.396302165370237,-30.396302165370237,-30.396302165370237,1.6518667565783554,1.6518667565783554,1.6518667565783554,-32.048168921948594,-32.048168921948594,-32.048168921948594,0.0,0.0,0.0,88.58946403541444,114.44000244140625
16,1985-10-23,119.05361233506682,-723.985028543251,1015.1543638145705,119.05361233506682,119.05361233506682,-25.83061520555899,-25.83061520555899,-25.83061520555899,3.3637165343397837,3.3637165343397837,3.3637165343397837,-29.19433173989877,-29.19433173989877,-29.19433173989877,0.0,0.0,0.0,93.22299712950783,115.06500244140625
17,1985-10-24,119.121458469349,-798.3856544564567,1007.4651524638549,119.121458469349,119.121458469349,-23.975358346695348,-23.975358346695348,-23.975358346695348,2.4371643160448238,2.4371643160448238,2.4371643160448238,-26.41252266274017,-26.41252266274017,-26.41252266274017,0.0,0.0,0.0,95.14610012265365,115.48500061035156
18,1985-10-25,119.18930460363114,-822.1036522545561,956.8969950842875,119.18930460363114,119.18930460363114,-28.65426531248769,-28.65426531248769,-28.65426531248769,-4.926578529319254,-4.926578529319254,-4.926578529319254,-23.72768678316844,-23.72768678316844,-23.72768678316844,0.0,0.0,0.0,90.53503929114345,113.91000366210938
19,1985-10-28,119.3928430064776,-770.5571365545352,1071.5027241244243,119.3928430064776,119.3928430064776,-12.959231457552578,-12.959231457552578,-12.959231457552578,3.4718795045094155,3.4718795045094155,3.4718795045094155,-16.431110962061993,-16.431110962061993,-16.431110962061993,0.0,0.0,0.0,106.43361154892503,113.81999969482422
20,1985-10-29,119.46068914075977,-742.6205729303092,986.7905871144902,119.46068914075977,119.46068914075977,-12.632904907993938,-12.632904907993938,-12.632904907993938,1.6518667565753236,1.6518667565753236,1.6518667565753236,-14.284771664569261,-14.284771664569261,-14.284771664569261,0.0,0.0,0.0,106.82778423276584,115.4000015258789
21,1985-10-30,119.52853527504193,-805.2427543521587,1026.762856197005,119.52853527504193,119.52853527504193,-8.921643945739849,-8.921643945739849,-8.921643945739849,3.3637165343289244,3.3637165343289244,3.3637165343289244,-12.285360480068773,-12.285360480068773,-12.285360480068773,0.0,0.0,0.0,110.60689132930209,115.7699966430664
22,1985-10-31,119.59638140932408,-788.1158149041921,887.4148622224504,119.59638140932408,119.59638140932408,-7.991026494950204,-7.991026494950204,-7.991026494950204,2.4371643160456586,2.4371643160456586,2.4371643160456586,-10.428190810995861,-10.428190810995861,-10.428190810995861,0.0,0.0,0.0,111.60535491437388,115.4800033569336
23,1985-11-01,119.66422754360624,-696.9406602253309,971.6308446425126,119.66422754360624,119.66422754360624,-13.63098795251501,-13.63098795251501,-13.63098795251501,-4.926578529320087,-4.926578529320087,-4.926578529320087,-8.704409423194923,-8.704409423194923,-8.704409423194923,0.0,0.0,0.0,106.03323959109123,116.2750015258789
24,1985-11-04,119.86776594645272,-736.9433458779191,1042.040845578294,119.86776594645272,119.86776594645272,-0.7227261514411294,-0.7227261514411294,-0.7227261514411294,3.4718795045105684,3.4718795045105684,3.4718795045105684,-4.1946056559516975,-4.1946056559516975,-4.1946056559516975,0.0,0.0,0.0,119.1450397950116,116.04000091552734
25,1985-11-05,119.93561208073487,-795.3437728113951,1002.2447939515232,119.93561208073487,119.93561208073487,-1.201828645541235,-1.201828645541235,-1.201828645541235,1.651866756578071,1.651866756578071,1.651866756578071,-2.853695402119306,-2.853695402119306,-2.853695402119306,0.0,0.0,0.0,118.73378343519363,116.44000244140625
26,1985-11-06,120.00345821501702,-747.9588280617049,1022.6441047492087,120.00345821501702,120.00345821501702,1.8020832308236707,1.8020832308236707,1.8020832308236707,3.363716534333069,3.363716534333069,3.363716534333069,-1.5616333035093986,-1.5616333035093986,-1.5616333035093986,0.0,0.0,0.0,121.80554144584069,117.37999725341797
27,1985-11-07,120.07130434929918,-743.221694751303,994.3228350045296,120.07130434929918,120.07130434929918,2.1384034935003133,2.1384034935003133,2.1384034935003133,2.4371643160464935,2.4371643160464935,2.4371643160464935,-0.29876082254618014,-0.29876082254618014,-0.29876082254618014,0.0,0.0,0.0,122.2097078427995,117.62000274658203
